ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
29-11,28/03/23 10:05:44,https://twitter.com/protestantalive/status/973792917025443842,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Aquino sold scarborough,@protestantalive,joELadvent,The only way to save the world from eternal damnations is Jesus Christ and the world is going towards that.,Anonymous,03/18,22,3,,Research my friend. The Scarborough was sold by the Aquino thru Trillanes. Remember during a senate hearing wherein Mr Gordon asking trouls to explain eh he follow the instruction of Panot for going to China then what did Trollanes reply? #pleasethinkcositsfree,,"Text, Reply",14/03/18 13:28,https://drive.google.com/file/d/1_ws5FdViICpVpuVf9-3Ocu5HTEQJI9GB/view?usp=share_link,Rational,1,1,0,,,,"There is no official confirmation from China that the Aquino administration sold Scarborough Shoal.

The Aquino administration did lose effective control of the territory in April 2012 after a tense standoff with China. But following this loss, the Aquino administration challenged China’s 9-dash claim over the disputed territories in the South China Sea. 

[https://www.rappler.com/newsbreak/fact-check/228539-china-confirms-noynoy-aquino-trillanes-sold-scarborough-shoal/]",No location,,
29-12,28/03/23 10:08:32,https://twitter.com/gerrydeleo/status/1394314635726114821,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Aquino sold scarborough,@gerrydeleo,gerry,The right to write..Exercising the right to express freedom..Debunk the lies....I am no troll..,Identified,01/20,416,534,,They sold the scarborough to China.. Thats why all communications between trilianes and China leaders were all done in secret.. The Phil side only trilianes and bs aquino knows about the deal..,,"Text, Reply",17/05/21 23:31,https://drive.google.com/file/d/1lkjas8zCDfLVV9raT2GgPSjT5tzvq3Uy/view?usp=share_link,Rational,14,0,4,,,,"There is no official confirmation from China that the Aquino administration sold Scarborough Shoal.

The Aquino administration did lose effective control of the territory in April 2012 after a tense standoff with China. But following this loss, the Aquino administration challenged China’s 9-dash claim over the disputed territories in the South China Sea. 

[https://www.rappler.com/newsbreak/fact-check/228539-china-confirms-noynoy-aquino-trillanes-sold-scarborough-shoal/]",No location,,
29-13,28/03/23 11:07:30,https://twitter.com/Naes015/status/1134871630721835008,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy not a hero,@Naes015,Sojournnorway.Philippines 🇵🇭💞 🇳🇴,😊,Anonymous,09/13,590,387,Norway,"#Neverforget That Ninoy is not a hero. He is a communists, binenta ang Sabah island,utak sa pag pa sabog sa plaza Miranda, sacrificial lamb ng mga LP, ang ending 30 yrs lugmok sa hirap ang Pilipinas dahil sa kasakiman ng mga Aquino. I will never ever forget!",,"Text, Reply",02/06/19 01:17,https://drive.google.com/file/d/1TLt4Z1HbxAS-gtch5pLmyJ-cgAj0jkG3/view?usp=share_link,"Rational, Emotional",0,7,0,1,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]

The claim on Ninoy Aquino selling Sabah is still unproven. Hermes Dorado, former national territory division head of the Department of Foreign Affairs, claimed in 2013 that Aquino met with then-Malaysian Prime Minister Mohammad Mahathir. In the supposed meeting, which allegedly took place before Aquino returned to the Philippines from self-exile in the United States, the former senator told Mahathir that he would drop the Philippines’ claim on Sabah once in power, in exchange for Malaysia’s support to oust Marcos. Aquino was assassinated on his return on Aug. 21, 1983.

Dorado said he indirectly confirmed this piece of information from former ambassador and retired general Rafael Ileto. This claim could not be verified by documents or other accounts.

[https://verafiles.org/articles/vera-files-fact-check-graphic-makes-false-unproven-claims-vs]

There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",,,
29-14,28/03/23 11:32:34,https://twitter.com/sycipft/status/1099939680772968450,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Aquino corrupt,@sycipft,"Francisco T. Sycip, Jr.",citizen journalism,Identified,08/10,519,265,"Metro Manila, Philippines","no.  11

""FEB. 25, 1986 is not People Power; it's a 33-year old fake story written by the power-grabbers, the corrupt Aquino dynasty! 
- Adolfo Mortera""",,Text,25/02/19 15:50,https://drive.google.com/file/d/1G1IIkOd3puETNceBpV9euY7eoIOL3M9A/view?usp=share_link,Rational,0,0,0,,,,"History shows that the 1986 EDSA People Power Revolution gathered millions of Filipinos from all walks of life to march along Epifanio de los Santos Avenue (EDSA), the main artery of Metro Manila, to end the dictatorship of President Ferdinand E. Marcos and begin a new era marked by true freedom and democracy. 

[https://www.officialgazette.gov.ph/edsa/]",,,
29-15,28/03/23 11:40:08,https://twitter.com/roguilaphotos/status/1031791890759331840,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy staged death,@roguilaphotos,Romel Lazaro,"Aspiring Photographer, Nature Lover",Identified,01/16,146,169,"Iloilo City, Western Visayas","Ninoy Aquino's STAGED DEATH is a SYMBOL of BETRAYAL...MANIPULATION BY THE MEDIA ...ABUSE OF POWER BY THE CATHOLIC CHURCH... and CORRUPTION IN PHILIPPINE POLITICS. WHAT A SHAME! Right, 
@noynoyaquino
 !? #RememberNinoyTheManipulator #RememberNinoyTheFatherOfAbnoy #NinoyIsNOTaHero",,Text,21/08/18 14:35,https://drive.google.com/file/d/1bBPMWiook6nf9filYRzHk794YIgtJEiN/view?usp=share_link,Emotional,91,45,46,11,,,"There is no reputable evidence that solidly backs claims that Aquino sacrificed his life to engineer the ousting of then president Ferdinand Marcos Sr.

[https://factsfirstph-partners.rappler.com/859/fact-check-video-claiming-ninoy-aquino-assassination-ploy/]",,,
29-16,28/03/23 11:40:23,https://twitter.com/sherwin1114/status/775004460569341952,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy planned death,@sherwin1114,Sherwin 🎯,"Accountant 🧮 | Melophile 🎧
IG: sherwinsantos_",Identified,05/11,348,104,"Nueva Ecija, Philippines",Ninoy Aquino's death is planned to oust the Marcoses. #SuperficialGazette,,Text,12/09/16 00:13,https://drive.google.com/file/d/1-8BfPvGU46QNSWFSkSOh9Vhdjc5Ct28U/view?usp=share_link,Rational,0,0,0,,,,"There is no reputable evidence that solidly backs claims that Aquino sacrificed his life to engineer the ousting of then president Ferdinand Marcos Sr.

[https://factsfirstph-partners.rappler.com/859/fact-check-video-claiming-ninoy-aquino-assassination-ploy/]",,,
29-17,28/03/23 11:42:19,https://twitter.com/ej_chivas619/status/1296866034528354304,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@ej_chivas619,EJM,I don't feel I have to wipe everybody out. Just my enemies.,Identified,08/18,82,38,,Ninoy is a co-founder of NPA together with Sison. He also squealed the Sabbah Recovery Mission that was launched by Pres. Marcos. Whether his death is staged or not dying for the sake of attaining his political ambition can never be considered an act of heroism. #NinoyIsNotAHero,,Text,22/08/20 01:45,https://drive.google.com/file/d/1YfiTEKoKwqqYZZK9ruZdWjOgBWNDmiUU/view?usp=share_link,Rational,0,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",No location,,
29-18,28/03/23 11:46:44,https://twitter.com/AlanaBlanch6/status/1510154816621711363,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@AlanaBlanch6,Emma B.,,Identified,01/19,19,5,,Ninoy Aquino is a co-founder of CPP-NPA-NDF and that  makes him a hero 🤣😂😂😂😂,,"Text, Reply",02/04/22 15:19,https://drive.google.com/file/d/1Vz00k1dhAqEs4w9189UpHAiJZPF1t4fU/view?usp=share_link,Rational,1,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",No bio and location,,
29-19,28/03/23 11:47:43,https://twitter.com/aqua_p3/status/1580541791698575361,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@aqua_p3,Aqua Marine,Aqua Vizcaya Rental,Identified,03/16,100,17,,Remembering Ninoy as the co-founder of NPA movement in 1970 and remembering Cory when she released prisoner Joma and Dante Buscayno in 1986.,,"Text, Reply",13/10/22 20:51,https://drive.google.com/file/d/1alU0EBJFVRzc6BnlZWnvjuP5SRRAZX44/view?usp=share_link,Rational,1,2,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]","- No location
- Tagged as 'Identified' since full name is on the account's bio
",,
29-20,28/03/23 11:48:23,https://twitter.com/dozZ3h_Vbril/status/1561344937844568065,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@dozZ3h_Vbril,t ❤_💚 k! rO ツ,❤💚✌👊,Anonymous,09/15,2147,3131,,Padre may kasamahan kayong naging NPA din 😂😂😂 si Balweg kaya di ako nag tataka idol mo si Ninoy kasi Co-Founder yan ng NPA.,,"Text, Reply",21/08/22 21:30,https://drive.google.com/file/d/14L5QJ7fgKgIOlZjlQaQHnTG3rZJF0s91/view?usp=share_link,Emotional,2,1,2,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",No location,,
29-21,28/03/23 11:49:47,https://twitter.com/eckarific/status/1277509422445555717,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@eckarific,ecka❤💚,fur mom // INFJ // steam id: mademoiselle,Anonymous,10/18,204,190,South Luzon,"I'm not talking about how wealthy they are and how they got that. I'm talking about how the liberal and oligarchs made him like him the bad guy and made Ninoy a hero. When in fact Ninoy was a traitor, a co-founder of NPA.",,"Text, Reply",29/06/20 15:49,https://drive.google.com/file/d/1nnkay_iNZWmrlj4DxvWjmzPjjz8DNIRD/view?usp=share_link,Rational,1,1,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",,,
29-22,28/03/23 11:50:15,https://twitter.com/GoblinS32552993/status/1429097344549605384,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@GoblinS32552993,Goblin Slayer,experienced silver-ranked adventurer who only concerns himself with hunting idiots.,Anonymous,09/20,15,2,"Cebu City, Philippines","Ninoy Aquino Day is a celebration of a co-founder of CPP NPA and later chose to die in airport for political gain. If you're NPA enabler and its cowardice and atrocities, this day is for you! YEEY! Otherwise, #NinoyIsNotAHero",,"Text, Reply",21/08/21 23:05,https://drive.google.com/file/d/1lYbbJrkKMvTdLbXV9G9HBaMTT2IqwsDy/view?usp=share_link,"Rational, Emotional",0,0,1,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",Tagged as 'Anonymous' since full name cannot be deduced from the available information,,
29-23,28/03/23 11:51:07,https://twitter.com/lucent46/status/1435240217775067142,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@lucent46,george santos,,Anonymous,05/10,54,12,,HOY BAM AQUINO YOUR IDOL AND YOUR UNCLE NINOY IS TRAITOR TO OUR NATION AND HE IS THE CO-FOUNDER OF CPP-NPA-NDF KAYONG MGA AQUINO MGA SALOT SA PINAS. MGA P********INA NINYO.,,"Text, Reply",07/09/21 21:55,https://drive.google.com/file/d/1rx4HMliXc52bSnfgRwADuYorqSaMoqMq/view?usp=share_link,Emotional,0,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]","- No bio and location
- Tagged as 'Anonymous' since account highly exhibits troll/bot-like behavior; unsure if name given is legitimate",,
29-24,28/03/23 11:51:33,https://twitter.com/BejAlbert87/status/1301443571409543168,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@BejAlbert87,IamCanadianIslander,,Anonymous,05/11,1355,9,Canada,"kakie, Ninoy is not a hero. He's the co-founder of CPP/NPA and a traitor by collaborating with another country to bolster his political ambition. And we have a holiday for fake hero and a certified traitor.",,"Text, Reply",03/09/20 16:55,https://drive.google.com/file/d/1MGMVb8_1YGqA788tKw0yznN1FQXiShm3/view?usp=share_link,Rational,0,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]","- No bio
- Tagged as 'Anonymous' since account handle has insufficient information to deduce the full name of the person and exhibits troll-like behavior mainly through replies.",,
29-25,28/03/23 11:52:06,https://twitter.com/darwinHeat/status/1475926390050631694,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy co-founder NPA,@darwinHeat,darwin cabutihan,"MALE,working in Jeddah KSA. 44yrs old.",Identified,06/12,1703,759,"Jeddah,KSA","Ang solusyon sa problema ay ang pagpatay sa ugat ng problema.

Sinong co-founder ng CPP-NPA-NDF? Si Santong Ninoy di ba. 
So ang number one collaborator at benefactor ng mga NPA ay ang mga Dilawan at Liberal Party. 

Solusyon- Patayin sa Politika ang mga Dilawan at Liberal party.",,"Text, Reply",29/12/21 04:27,https://drive.google.com/file/d/1_IFI6s3feMjrVC_EEt0DqK88cXQ6UU_G/view?usp=share_link,Emotional,2,0,0,,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",,,
29-26,28/03/23 09:43:51,https://twitter.com/Dominik73792556/status/1550761375110410241,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, death sentenced",Dominik73792556,Dominik,cute and honest,Anonymous,09/21,94,106,,NINOY IS NOT A HERO!!!paano maging hero Ang hinatulan noon ng death sentenced dahil sa pagtataksil sa bayan !!!!,,Text,23/07/22 00:00,,"Rational, Emotional",1,0,0,,,,"In 1987, the Supreme Court ruled that “…any judgment rendered by such [a] body relating to a civilian is null and void for lack of jurisdiction.” regarding Aquino's sentence by military tribunal. ",No location,,
29-27,28/03/23 09:49:32,https://twitter.com/OCahipe/status/1559360871079456768,29,"Murillo, Joana Marie",AQNO,Allegations Surrounding the Aquinos,"Ninoy not a hero, murderer",@OCahipe,Orvien Cahipe,,Anonymous,01/17,290,8,,@ChairAndyBau NINOY IS NOT A HERO BUT A TRAITOR AND MURDERER!,,"Text, Reply",08/12/22 00:28,,Rational,1,0,0,,,,"In 1987, the Supreme Court ruled that “…any judgment rendered by such [a] body relating to a civilian is null and void for lack of jurisdiction.” regarding Aquino's sentence by military tribunal. ",No bio and location,,
